index	livre	statut	vrai_debut_selon_source	source
71	Les Détectives sauvages	FORMULATION	J'ai été cordialement invité à faire partie du réalisme viscéral.	https://excerpts.numilog.com/books/9782823613131.pdf
73	L'Amour aux temps du choléra	FORMULATION	C'était inévitable : l'odeur des amandes amères lui rappelait le destin des amours contrariées.	http://la-marquise-sortit-a-cinq-heures.over-blog.com/2014/12/c-etait-inevitable-gabriel-garcia-marquez-l-amour-au-temps-du-cholera-incipit.html
86	Le Hussard sur le toit	INTROUVABLE		https://www.ebooksgratuits.com/html/giono_[le_cycle_du_hussard_3]_le_hussard_sur_le_toit.html
87	Histoire de France	FAUX	(la phrase est d'Agrippa d'Aubigné, Les Tragiques)	https://www.bacdefrancais.net/lestragiques.php
89	Le Rivage des Syrtes	INTROUVABLE		
90	Journal du voleur	FAUX	Le vêtement des forçats est rayé rose et blanc.	https://www.rodoni.ch/B5/genet-voleur.pdf
91	Le Mur	INTROUVABLE		
92	Belle du Seigneur	FAUX	Descendu de cheval, il allait le long des noisetiers et des églantiers…	https://media.electre-ng.com/extraits/extrait-id/638410a917a297c95c7f9855baf6ac27318c67b21395def2362dff02c7c36a9a.pdf
240	Les Contemplations (Aujourd'hui, 4 septembre 1856)	INTROUVABLE		https://www.gutenberg.org/ebooks/29844
94	Cendrillon	FAUX	Il était une fois un gentilhomme qui épousa, en secondes noces, une femme la plus hautaine et la plus fière qu'on eût jamais vue.	https://fr.wikisource.org/wiki/Contes_de_Perrault_(%C3%A9d._1902)/Cendrillon_ou_la_petite_Pantoufle_de_verre
98	Portrait de l'artiste en jeune homme	INTROUVABLE		
101	Une fin de roman	INTROUVABLE		
102	Carrie	INTROUVABLE		
103	Requiem for a Dream	FAUX	(la phrase vient du film La Haine)	https://www.dicocitations.com/citation_internaute_ajout/4163.php
104	Moon Palace	FAUX	C'était l'été où l'homme a pour la première fois posé le pied sur la Lune.	https://www.incipitmania.com/aut-a/auster-paul/moon-palace-paul-auster/
105	Pastorale américaine	INTROUVABLE		
106	L'Inconnu du Nord-Express	INTROUVABLE		
108	Une histoire d'amour et de ténèbres	INTROUVABLE		
110	Si par une nuit d'hiver un voyageur	FAUX	(le livre s'ouvre sur « Tu vas commencer le nouveau roman d'Italo Calvino… » — à copier depuis la source)	https://www.bacfrancais.com/commentaire/calvino-nuit-hiver-voyageur-incipit/
113	Les Cerfs-volants de Kaboul	FAUX	Je suis devenu ce que je suis aujourd'hui à l'âge de douze ans, par un jour glacial et nuageux de l'hiver 1975.	https://booknode.com/les_cerfs-volants_de_kaboul_0993/extraits
123	La Salle de bain	FAUX	Lorsque j'ai commencé à passer mes après-midi dans la salle de bain, je ne comptais pas m'y installer ; …	https://books.google.com/books/about/La_Salle_de_bain.html?id=codSCwAAQBAJ
120	Rien ne s'oppose à la nuit	FAUX	Ma mère était bleue, d'un bleu pâle mêlé de cendres, …	https://www.furet.com/media/pdf/feuilletage/9/7/8/2/2/5/3/1/9782253164265.pdf
119	Qui a tué mon père	INTROUVABLE		
118	Le Pays des autres	FAUX	La première fois que Mathilde visita la ferme, elle pensa : « C'est trop loin. »	https://booknode.com/le_pays_des_autres_tome_1_03166833/extraits
109	Istanbul	INTROUVABLE		
111	La Femme gauchère	INTROUVABLE		
112	Kafka sur le rivage	FAUX	(le roman s'ouvre sur un dialogue avec « le garçon nommé Corbeau »)	
114	Montedidio	INTROUVABLE		https://www.incipitmania.com/aut-d/de-luca-erri/montedidio-erri-de-luca/
115	La Poursuite du bonheur	FAUX	Le premier, le tout premier souvenir de lui est un regard.	https://booknode.com/la_poursuite_du_bonheur_03439/extraits
116	La Maison du sommeil	INTROUVABLE		
117	W ou le souvenir d'enfance	PARTIEL	phrase authentique, mais c'est le début du chapitre II (partie autobiographique), pas du livre	http://anneprof.unblog.fr/2017/12/31/texte-6-w-ou-le-souvenir-denfance-perec-chapitre-2-incipit-du-souvenir/
121	Rosie Carpe	INTROUVABLE		https://www.leseditionsdeminuit.fr/livre-Rosie_Carpe-1734-1-1-0-1.html
122	Zone	INTROUVABLE		https://grandeursrvitude.wordpress.com/2016/02/28/la-longue-phrase-incipit-de-mathias-enard-277-mots/
124	L'Amour dure trois ans	INTROUVABLE		
125	Saga	INTROUVABLE		
126	C'est une chose étrange à la fin que le monde	INTROUVABLE		
127	L'Usage du monde	INTROUVABLE		
128	Ensemble, c'est tout	FAUX	Non, Paulette Lestafier n'était pas folle du tout.	https://actualitte.com/livres/324051/extraits/ensemble-c-est-tout-anna-gavalda-9782290356135
129	Et après…	INTROUVABLE		
130	Elle s'appelait Sarah	INTROUVABLE		
131	Eldorado	FAUX		https://www.devoir-de-philosophie.com/litterature/la-1-eldorado-laurent-gaude-incipit
132	La Délicatesse	FAUX	Nathalie était plutôt discrète (une sorte de féminité suisse).	https://excerpts.numilog.com/books/9782072767548.pdf
133	Un aller simple	FAUX	J'ai commencé dans la vie comme enfant trouvé par erreur.	https://archive.org/details/unallersimplerom00cauw
134	Désert	FAUX	Ils sont apparus, comme dans un rêve, au sommet de la dune, à demi cachés par la brume de sable que leurs pieds soulevaient.	http://blog.ac-versailles.fr/lettresdarts/public/QUATRE_ELEMENTS/Desert1.pdf
135	Naissance d'un pont	INTROUVABLE		
136	La Vérité sur l'affaire Harry Quebert	INTROUVABLE		
137	Le Quatrième mur (« J'ai appris très tôt à me taire. »)	FAUX	Je suis tombé. (première phrase — voir 184)	https://fr.wikipedia.org/wiki/Le_Quatri%C3%A8me_Mur_(roman)
